Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
100% Anisole: 0% MTBE,0 mm,1002,974.635965731144,1.10109437201375,6.60000000000002,5.68882340173806
75% Anisole: 25% MTBE,0 mm,1002,976.435965731144,0.763552076323923,7.19999999999993,4.36466279310615
50% Anisole: 50% MTBE,0 mm,1002,974.635965731144,1.04787409573271,6.60000000000002,5.48814398293624
25 Anisole: 75% MTBE,0 mm,1002,974.635965731144,1.11123358752288,6.30000000000007,5.72754968965024
0% Anisole: 100 MTBE,0 mm,1002,974.635965731144,1.10948671736681,6.89999999999998,6.08310409032755
100% Anisole: 0% MTBE,1 mm,1002,974.635965731144,1.17890209355282,6.60000000000002,6.13760154078957
75% Anisole: 25% MTBE,1 mm,1002,974.635965731144,1.00832327599555,6.89999999999998,5.36713775349084
50% Anisole: 50% MTBE,1 mm,1002,974.635965731144,1.12210739309305,6.89999999999998,5.97341496233909
25 Anisole: 75% MTBE,1 mm,1002,974.635965731144,1.24084510516295,6.60000000000002,6.36992273952528
0% Anisole: 100 MTBE,1 mm,1002,974.635965731144,1.21565180186237,6.30000000000007,6.02253728070419
100% Anisole: 0% MTBE,2 mm,1002,972.835965731144,1.09679122434534,7.20000000000005,6.3528972474837
75% Anisole: 25% MTBE,2 mm,1002,972.835965731144,0.901004608054878,7.5,5.44068462803828
50% Anisole: 50% MTBE,2 mm,1002,972.835965731144,1.0540744048602,6.89999999999998,5.87947796008149
25 Anisole: 75% MTBE,2 mm,1002,974.335965731144,1.14026385891212,7.19999999999993,6.54319868697004
0% Anisole: 100 MTBE,2 mm,1002,974.335965731144,1.12736383294316,6.89999999999998,6.26788224024826
100% Anisole: 0% MTBE,3 mm,1002,972.535965731144,1.15853410333443,7.20000000000005,6.57481756650339
75% Anisole: 25% MTBE,3 mm,1002,972.535965731144,1.02656756773569,7.20000000000005,5.87948857001412
50% Anisole: 50% MTBE,3 mm,1002,972.535965731144,1.14540811630651,7.20000000000005,6.44504641563794
25 Anisole: 75% MTBE,3 mm,1002,972.535965731144,1.16914875920582,7.19999999999993,6.64213077415378
0% Anisole: 100 MTBE,3 mm,1002,972.535965731144,1.22090258260216,6.89999999999998,6.68192536139661
100% Anisole: 0% MTBE,4 mm,1002,972.535965731144,1.07321497485672,7.20000000000005,6.22380655194923
75% Anisole: 25% MTBE,4 mm,1002,972.535965731144,0.996509813525413,7.79999999999995,6.12506809479043
50% Anisole: 50% MTBE,4 mm,1002,972.535965731144,1.12001260248075,7.20000000000005,6.46833390853989
25 Anisole: 75% MTBE,4 mm,1002,972.535965731144,1.09045423273443,7.20000000000005,6.23800474513496
0% Anisole: 100 MTBE,4 mm,1002,972.535965731144,1.12159055137524,6.89999999999998,6.14157682148746
100% Anisole: 0% MTBE,5 mm,1002,972.535965731144,1.05309302576775,6.60000000000002,5.54665314272435
75% Anisole: 25% MTBE,5 mm,1002,972.535965731144,1.0415243905316,7.19999999999993,5.91468042582296
50% Anisole: 50% MTBE,5 mm,1002,972.535965731144,1.09429708116846,6.89999999999998,5.96700391019157
