Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
100% Anisole: 0% MTBE,0 mm,1002,976.435965731144,1.32388927749208,5.69999999999993,5.69036793386532
75% Anisole: 25% MTBE,0 mm,1002,976.435965731144,1.34501871744133,5.69999999999993,5.7580884501551
50% Anisole: 50% MTBE,0 mm,1002,976.435965731144,1.31487153800647,5.69999999999993,5.74458248846161
25 Anisole: 75% MTBE,0 mm,1002,976.435965731144,1.30958185580569,5.69999999999993,5.78023936048535
0% Anisole: 100 MTBE,0 mm,1002,976.435965731144,1.40694009807918,5.39999999999998,5.7080975516288
100% Anisole: 0% MTBE,1 mm,1002,974.635965731144,1.22171703733864,6,5.99478734167087
75% Anisole: 25% MTBE,1 mm,1002,1001.93596573114,1.43670954267463,5.70000000000005,6.18154552698852
50% Anisole: 50% MTBE,1 mm,1002,976.435965731144,1.22528366246327,6,5.96813863913863
25 Anisole: 75% MTBE,1 mm,1002,976.435965731144,1.26728419733124,6,6.17778735718619
0% Anisole: 100 MTBE,1 mm,1002,974.635965731144,1.2421707406636,6,6.11790457434006
100% Anisole: 0% MTBE,2 mm,1002,974.635965731144,1.18647726808387,6.29999999999995,5.8167310770535
75% Anisole: 25% MTBE,2 mm,1002,999.835965731144,1.25305928141605,6.29999999999995,6.23658032759302
50% Anisole: 50% MTBE,2 mm,1002,974.635965731144,1.2134376420785,6,5.69602323237207
25 Anisole: 75% MTBE,2 mm,1002,974.635965731144,1.22912584624446,6.30000000000007,5.99642848420855
0% Anisole: 100 MTBE,2 mm,1002,974.635965731144,1.21926358804649,6.29999999999995,5.99329086719009
100% Anisole: 0% MTBE,3 mm,1002,972.535965731144,1.20450913102637,6.89999999999998,6.50217151150195
75% Anisole: 25% MTBE,3 mm,1002,972.535965731144,1.22252251846715,6.89999999999998,6.70053356313958
50% Anisole: 50% MTBE,3 mm,1002,972.535965731144,1.21555819146355,6.89999999999998,6.58676362972444
25 Anisole: 75% MTBE,3 mm,1002,972.835965731144,1.22562649151917,6.89999999999998,6.71390425311723
0% Anisole: 100 MTBE,3 mm,1002,972.535965731144,1.23569015378417,6.89999999999998,6.68271473251833
100% Anisole: 0% MTBE,4 mm,1002,972.535965731144,1.10220167719018,6.89999999999998,5.97848632612539
